region,year,arrivals
Oceania (ex Aust. born),2014-15,30770
North-West Europe,2014-15,55500
Southern & Eastern Europe,2014-15,18690
North Africa & Middle East,2014-15,23100
South-East Asia,2014-15,66170
North-East Asia,2014-15,99370
Southern & Central Asia,2014-15,79920
Americas,2014-15,29940
Sub-Saharan Africa,2014-15,15450
Oceania (ex Aust. born),2018-19,29980
North-West Europe,2018-19,50260
Southern & Eastern Europe,2018-19,14660
North Africa & Middle East,2018-19,27510
South-East Asia,2018-19,75550
North-East Asia,2018-19,104040
Southern & Central Asia,2018-19,140200
Americas,2018-19,38640
Sub-Saharan Africa,2018-19,19140
Oceania (ex Aust. born),2020-21,21930
North-West Europe,2020-21,14370
Southern & Eastern Europe,2020-21,3550
North Africa & Middle East,2020-21,7020
South-East Asia,2020-21,14040
North-East Asia,2020-21,15550
Southern & Central Asia,2020-21,18200
Americas,2020-21,8010
Sub-Saharan Africa,2020-21,6320
Oceania (ex Aust. born),2022-23,49190
North-West Europe,2022-23,60100
Southern & Eastern Europe,2022-23,18660
North Africa & Middle East,2022-23,28280
South-East Asia,2022-23,123020
North-East Asia,2022-23,127970
Southern & Central Asia,2022-23,201170
Americas,2022-23,68940
Sub-Saharan Africa,2022-23,27480
Oceania (ex Aust. born),2023-24,51780
North-West Europe,2023-24,66660
Southern & Eastern Europe,2023-24,14860
North Africa & Middle East,2023-24,30540
South-East Asia,2023-24,101100
North-East Asia,2023-24,111640
Southern & Central Asia,2023-24,170750
Americas,2023-24,45780
Sub-Saharan Africa,2023-24,31490
Oceania (ex Aust. born),2024-25,50110
North-West Europe,2024-25,66530
Southern & Eastern Europe,2024-25,13900
North Africa & Middle East,2024-25,26360
South-East Asia,2024-25,75220
North-East Asia,2024-25,100240
Southern & Central Asia,2024-25,145440
Americas,2024-25,29050
Sub-Saharan Africa,2024-25,22490
