age,males_2023_24,females_2023_24,males_neg
0,2680,2480,-2680
1,3030,2920,-3030
2,3020,2940,-3020
3,3230,3080,-3230
4,3420,3210,-3420
5,3350,3020,-3350
6,3080,2970,-3080
7,2970,2780,-2970
8,2890,2750,-2890
9,2810,2680,-2810
10,2650,2530,-2650
11,2640,2570,-2640
12,2520,2430,-2520
13,2300,2100,-2300
14,2360,2320,-2360
15,2680,2630,-2680
16,2540,2650,-2540
17,3340,3260,-3340
18,12210,11950,-12210
19,12020,10690,-12020
20,9320,7800,-9320
21,10500,9300,-10500
22,15210,14790,-15210
23,16960,16890,-16960
24,15760,16300,-15760
25,15390,16470,-15390
26,14650,16070,-14650
27,13280,14730,-13280
28,12230,13230,-12230
29,11000,11900,-11000
30,9680,10240,-9680
31,8750,8790,-8750
32,7680,7510,-7680
33,7200,6860,-7200
34,6840,6510,-6840
35,6220,5770,-6220
36,5910,5260,-5910
37,5270,4990,-5270
38,5000,4520,-5000
39,4580,4200,-4580
40,4210,3830,-4210
41,3780,3460,-3780
42,3430,3080,-3430
43,3010,2710,-3010
44,2760,2410,-2760
45,2340,2170,-2340
46,2010,1920,-2010
47,1810,1820,-1810
48,1640,1610,-1640
49,1540,1520,-1540
50,1410,1530,-1410
51,1410,1480,-1410
52,1270,1450,-1270
53,1250,1450,-1250
54,1150,1330,-1150
55,1160,1430,-1160
56,1000,1270,-1000
57,980,1300,-980
58,970,1300,-970
59,1010,1380,-1010
60,1180,1520,-1180
61,1020,1370,-1020
62,940,1290,-940
63,840,1260,-840
64,820,1110,-820
65,860,1160,-860
66,1040,1320,-1040
67,890,1170,-890
68,890,1090,-890
69,810,1000,-810
70,730,870,-730
71,640,710,-640
72,580,620,-580
73,550,560,-550
74,480,560,-480
75,420,510,-420
76,360,380,-360
77,270,360,-270
78,260,280,-260
79,240,270,-240
80,190,230,-190
81,170,180,-170
82,150,160,-150
83,120,130,-120
84,110,120,-110
85,60,110,-60
86,70,90,-70
87,50,50,-50
88,50,60,-50
89,50,40,-50
90,20,30,-20
91,20,20,-20
92,10,20,-10
93,10,10,-10
94,10,10,-10
95,0,10,0
96,0,10,0
97,0,0,0
98,0,0,0
99,0,0,0
