age,total_2018_19,total_2024_25,left_2018_19
0,4620,4730,-4620
1,5650,5290,-5650
2,5800,5270,-5800
3,5880,5720,-5880
4,5920,5640,-5920
5,5400,5810,-5400
6,4900,5350,-4900
7,4490,5170,-4490
8,4370,5010,-4370
9,4120,4910,-4120
10,4080,4810,-4080
11,3870,4580,-3870
12,3520,4660,-3520
13,3430,4240,-3430
14,3600,4290,-3600
15,4040,4300,-4040
16,4300,4360,-4300
17,7860,5670,-7860
18,17860,21230,-17860
19,19540,21740,-19540
20,16250,16360,-16250
21,18600,17370,-18600
22,26220,26770,-26220
23,28780,27990,-28780
24,26750,27030,-26750
25,25010,26580,-25010
26,23380,24900,-23380
27,21930,23310,-21930
28,20690,21000,-20690
29,18750,18860,-18750
30,16640,16740,-16640
31,14290,14300,-14290
32,12600,12260,-12600
33,11140,11000,-11140
34,9840,10440,-9840
35,8900,9450,-8900
36,8400,8890,-8400
37,7460,8320,-7460
38,6640,7640,-6640
39,6200,7190,-6200
40,5690,6710,-5690
41,4920,6110,-4920
42,4460,5690,-4460
43,4200,5050,-4200
44,3900,4610,-3900
45,3720,3840,-3720
46,3480,3350,-3480
47,3230,2940,-3230
48,2930,2750,-2930
49,2840,2600,-2840
50,2690,2630,-2690
51,2520,2520,-2520
52,2480,2570,-2480
53,2460,2480,-2460
54,2640,2560,-2640
55,2840,2050,-2840
56,2820,2030,-2820
57,2520,2030,-2520
58,2580,1890,-2580
59,2770,2050,-2770
60,2770,2280,-2770
61,2840,2450,-2840
62,2770,2280,-2770
63,2790,1960,-2790
64,2600,2020,-2600
65,2450,1990,-2450
66,2120,2190,-2120
67,1890,2040,-1890
68,1630,1870,-1630
69,1580,1810,-1580
70,1420,1660,-1420
71,1190,1460,-1190
72,1100,1260,-1100
73,860,1090,-860
74,750,1010,-750
75,620,870,-620
76,550,720,-550
77,510,640,-510
78,450,570,-450
79,380,420,-380
80,310,380,-310
81,290,310,-290
82,210,270,-210
83,190,240,-190
84,160,210,-160
85,140,170,-140
86,110,140,-110
87,80,100,-80
88,70,70,-70
89,50,70,-50
90,40,50,-40
91,30,40,-30
92,20,30,-20
93,10,20,-10
94,20,10,-20
95,0,0,0
96,10,0,-10
97,0,0,0
98,0,0,0
99,0,0,0
